CODE;NAME;DESCR
"";None;None
DESCR;Description;Description
HIER_NAME;Hierarchy Name;Hierarchy Name
IS_NODE;Is Node;Is Node
KEY;Key;Key
LANGUAGE;Language;Language
PARENT_KEY;Parent Key;Parent Key
SEQUENCE;Sequence;Sequence
