CODE;NAME;DESCR
AL;Allocation;Allocation
CA;Calculation;Calculation
CU;Calculation Unit;Calculation Unit
CD;Condition;Condition
CV;Conversion;Conversion
DE;Derivation;Derivation
DS;Description;Description
JO;Join;Join
MT;Model Table;Model Table
MV;Model View;Model View
QE;Query;Query
RF;Remote Function;Remote Function
TR;Transfer Structure;Transfer Structure
VI;View;View
WR;Model Writer;Model Writer
