CODE;NAME;DESCR
"";Flexible;Flexible
0;0 Decimals;0 Decimals
1;1 Decimal;1 Decimal
2;2 Decimals;2 Decimals
3;3 Decimals;3 Decimals
4;4 Decimals;4 Decimals
5;5 Decimals;5 Decimals
6;6 Decimals;6 Decimals
7;7 Decimals;7 Decimals
8;8 Decimals;8 Decimals
9;9 Decimals;9 Decimals
